Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,User_Score,Rating
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,78.0,7.2,E
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,72.0,7.5,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,91.0,7.9,M
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,92.0,9.2,T
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,87.0,7.0,M
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,93.0,9.0,T
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,74.0,7.3,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,71.0,2.6,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,94.0,8.4,M
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,72.0,7.5,
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,72.0,7.5,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,88.0,8.7,E
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,72.0,7.8,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,96.0,8.4,M
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,72.0,7.5,
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,82.0,4.3,E
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,95.0,8.2,M
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,68.0,7.4,E
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,62.0,6.3,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,88.0,6.6,E
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,72.0,7.5,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,72.0,7.5,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,92.0,8.7,T
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,86.0,7.6,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,72.0,7.5,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,72.0,7.5,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,90.0,8.6,T
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,72.0,7.5,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,83.0,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,88.0,7.6,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,83.0,5.7,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,72.0,7.5,
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,85.0,5.0,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,72.0,7.5,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,72.0,7.5,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,97.0,9.1,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,72.0,7.5,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,72.0,7.5,
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,84.0,7.6,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,84.0,7.4,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,85.0,8.6,E
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,49.0,8.0,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,85.0,7.5,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,87.0,6.5,M
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,96.0,9.1,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,95.0,9.0,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,72.0,7.5,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,91.0,8.9,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,88.0,9.1,E
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,92.0,9.1,T
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,72.0,7.5,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,82.0,8.6,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,88.0,8.5,T
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,72.0,7.5,
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,74.0,7.3,E10+
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,93.0,7.7,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,92.0,8.3,T
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,94.0,8.4,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,96.0,8.8,T
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,72.0,7.5,
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,74.0,7.4,E
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,72.0,7.5,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,95.0,8.8,M
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,86.0,4.3,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,85.0,6.9,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,87.0,8.6,E
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,97.0,8.6,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,92.0,6.4,M
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,76.0,9.0,E
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,85.0,8.8,E
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,72.0,7.5,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,83.0,7.1,M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,95.0,9.0,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,92.0,8.6,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,72.0,7.5,
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,93.0,7.3,T
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,87.0,8.1,T
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,91.0,7.8,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,73.0,7.4,E10+
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,94.0,8.3,M
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,82.0,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,96.0,8.7,M
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,72.0,7.5,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,94.0,9.4,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,94.0,8.7,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,92.0,7.6,T
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,95.0,9.1,M
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,95.0,6.8,E
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,89.0,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,87.0,8.8,E10+
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,89.0,8.9,T
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,76.0,6.1,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,80.0,8.9,E10+
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,67.0,7.2,E
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,72.0,7.5,
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,72.0,7.5,
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,91.0,8.6,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,81.0,7.7,M
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,92.0,8.0,E
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,84.0,7.8,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,81.0,8.7,T
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,96.0,8.6,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,97.0,7.9,M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,93.0,8.3,E
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,72.0,7.5,
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,72.0,7.5,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,66.0,7.1,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,85.0,7.6,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,93.0,7.9,T
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,72.0,7.5,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,83.0,7.3,T
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,72.0,7.5,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,94.0,8.9,T
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,84.0,6.7,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,85.0,6.6,T
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,72.0,7.5,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,81.0,5.4,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,72.0,7.5,
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,90.0,8.8,M
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,85.0,7.5,T
Madden NFL 2004,PS2,2007,Sports,Electronic Arts,4.26,0.26,0.01,94.0,8.5,E
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,72.0,7.5,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,84.0,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,89.0,8.8,T
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,72.0,7.5,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,85.0,8.6,E
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,72.0,7.5,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,90.0,6.1,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,72.0,7.5,
Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,88.0,4.0,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,68.0,7.6,T
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,72.0,7.5,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,72.0,7.5,
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,92.0,8.5,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,80.0,6.5,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,72.0,7.5,
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,84.0,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,90.0,8.0,E
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,72.0,7.5,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,89.0,8.0,E
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,91.0,9.0,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,86.0,8.0,M
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,92.0,9.2,T
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,72.0,7.5,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,72.0,7.5,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,82.0,8.2,T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,68.0,7.1,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,72.0,7.5,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,93.0,8.5,M
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,88.0,8.1,T
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,88.0,8.0,E
Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,72.0,7.5,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,72.0,7.5,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,72.0,7.5,
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,72.0,7.5,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,93.0,8.2,T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,81.0,7.3,M
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,92.0,8.7,M
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,88.0,9.0,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,80.0,5.4,E
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,62.0,7.7,T
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,94.0,8.7,T
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,72.0,7.5,
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0.0,72.0,7.5,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,98.0,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,82.0,8.2,T
Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,91.0,8.6,T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,73.0,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,86.0,8.1,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,72.0,7.5,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,96.0,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,86.0,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,86.0,8.4,E
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,91.0,8.2,E
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.87,1.96,0.22,72.0,7.5,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,91.0,7.9,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,85.0,7.9,T
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.0,72.0,7.5,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,84.0,8.2,E
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,84.0,6.4,T
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,76.0,7.9,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,72.0,7.5,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.0,0.15,77.0,3.4,M
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,94.0,8.9,M
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,81.0,8.5,E10+
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,77.0,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,97.0,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,86.0,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,94.0,8.7,M
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,72.0,7.5,
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,82.0,9.1,T
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,56.0,8.3,E10+
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.56,1.93,0.19,72.0,4.8,M
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,86.0,8.1,M
Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,72.0,7.5,
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,87.0,9.0,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.09,1.31,0.62,72.0,7.5,
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,93.0,9.0,E
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,72.0,7.5,
Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,72.0,7.5,
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.77,1.11,0.0,72.0,4.9,M
FIFA 15,PS3,2014,Sports,Electronic Arts,0.58,3.02,0.04,72.0,4.5,E
